case,round,g_updates,d_updates,prior_updates,d_penalty_only_updates,bank,saturation_percent,pixel_diversity_percent_of_real,spatial_diversity_percent_of_real,pooled_diversity_percent_of_real,pre_tanh_rms,mean_tanh_derivative
baseline,0,0,0,0,0,fixed_latent,1.0104497273763022,75.51060074334924,108.02632938803691,8.708142622179071,0.9985208314429637,0.6125122023787566
baseline,0,0,0,0,0,evolving_prior,1.0104497273763022,75.51060074334924,108.02632938803691,8.708142622179071,0.9985208314429637,0.6125122023787566
baseline,1,1,1,1,0,fixed_latent,26.313209533691406,45.691785070303915,65.3631511348834,4.713117040406221,2.241679470768737,0.29195145706334874
baseline,1,1,1,1,0,evolving_prior,26.31222407023112,45.69130901947184,65.36253984748753,4.712518785331386,2.241677708032824,0.29195134527785577
baseline,8,8,8,8,0,fixed_latent,81.34743372599283,14.667065251856057,20.99716657447498,1.2601788595961003,6.8328603902827,0.04757566313447296
baseline,8,8,8,8,0,evolving_prior,81.34568532307944,14.668398999295704,20.999097258266627,1.259906185015883,6.832654683551687,0.04757870739963771
baseline,16,16,16,16,0,fixed_latent,84.38084920247397,17.452774865745738,24.96178712500235,1.7595562638165296,8.468440150449563,0.05516911608413468
baseline,16,16,16,16,0,evolving_prior,84.38313802083334,17.452519563965467,24.961755941550788,1.7549375448282185,8.468009973191242,0.05516496650899416
baseline,32,32,32,32,0,fixed_latent,99.62549209594727,0.527477119608477,0.7552440778165848,0.03750478006142648,14.635395603767924,0.0003758623536493757
baseline,32,32,32,32,0,evolving_prior,99.62447484334311,0.5260816644057459,0.7532442627499174,0.03732061343706007,14.63425780110056,0.0003758093132089732
baseline,64,64,64,64,0,fixed_latent,99.47287241617838,3.4051659371628196,4.873093252679298,0.29905288498540183,16.111637484650156,0.0020261587452786666
baseline,64,64,64,64,0,evolving_prior,99.47230021158853,3.4134369159539455,4.884897761721338,0.2998472897151897,16.109135386258377,0.0020270979933652905
baseline,128,128,128,128,0,fixed_latent,99.99987284342447,0.0046356797888924455,0.0066370243999498415,0.00030512520964695486,16.894907188828086,3.2760293586688994e-06
baseline,128,128,128,128,0,evolving_prior,99.99987284342447,0.004684375791028403,0.0067067966604853445,0.0003064707989267392,16.891206720840575,3.2975633161487156e-06
logos_g4,0,0,0,0,0,fixed_latent,1.0104497273763022,75.51060074334924,108.02632938803691,8.708142622179071,0.9985208314429637,0.6125122023787566
logos_g4,0,0,0,0,0,evolving_prior,1.0104497273763022,75.51060074334924,108.02632938803691,8.708142622179071,0.9985208314429637,0.6125122023787566
logos_g4,1,4,1,1,0,fixed_latent,83.23965072631836,12.814770983546447,18.34459711552437,1.091081478833553,5.114800246377556,0.035940363445008595
logos_g4,1,4,1,1,0,evolving_prior,83.23949178059897,12.81426825423364,18.343884845832218,1.0909687701253186,5.114797319429894,0.035940375309233184
logos_g4,4,16,4,4,0,fixed_latent,94.81976826985678,10.789717677891117,15.447129198860688,0.9160605112650669,10.176896010626757,0.020399393267255147
logos_g4,4,16,4,4,0,evolving_prior,94.81989542643228,10.788884600487203,15.445939761061682,0.9160306783232649,10.176814202633127,0.020400098413941716
logos_g4,8,32,8,8,0,fixed_latent,98.2306162516276,6.902348971181828,9.881203045533855,0.5883674196895077,14.384058431113498,0.008444078303632991
logos_g4,8,32,8,8,0,evolving_prior,98.23115666707358,6.903288841487038,9.882572583628468,0.5882969423482495,14.383720013232073,0.008443202012768923
logos_g4,16,64,16,16,0,fixed_latent,99.98515446980795,0.05667411331179304,0.08115006092369564,0.004016505936323373,25.83165124846169,2.832524096911067e-05
logos_g4,16,64,16,16,0,evolving_prior,99.98528162638345,0.05669788747236949,0.08118406892250869,0.004028408036312867,25.830940314850757,2.8288850118662583e-05
logos_g4,32,128,32,32,0,fixed_latent,99.94579950968424,0.11207893077041041,0.16044322369915442,0.008568438418846892,26.894803372826782,5.2389104839074375e-05
